정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수
S030000277,대구광역시교육청,대구광역시교육청,대구광역시 수성구,능인고등학교,사립,6,0,6,2025-02-27,2025-01-28 08:00:00.000000,153.0,124.0,고,0.0,11.0,11.0,795.0,2.4849066497880004,0.0,0.6566548958105609,0.0824175824175824,25.73082582089255,고위험,197.60242902523007
S150000728,경상북도교육청,경상북도교육청,경상북도 경산시,경산제일고등학교,사립,6,0,6,2025-02-28,2025-02-08 08:00:00.000000,142.0,123.0,고,0.0,17.0,17.0,318.0,2.8903717578961645,0.0,0.7638020388802209,0.0521978021978022,29.207523333174667,고위험,197.594476987974
S070000363,울산광역시교육청,울산광역시강북교육지원청,울산광역시 북구,농소초등학교,공립,7,0,7,2025-02-26,2025-02-11 10:17:08.571428,139.0,125.0,초,0.0,18.0,18.0,290.0,2.9444389791664403,0.0,0.7780897005728759,0.0439560439560439,29.60150219485283,고위험,197.54039334013945
S040002058,인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,인천송일초등학교,공립,6,0,6,2025-02-28,2025-01-04 04:00:00.000000,177.0,123.0,초,0.0,9.0,9.0,980.0,2.302585092994046,0.0,0.6084750807294722,0.1483516483516483,25.03276299312346,고위험,197.47276473438075
S090006947,경기도교육청,경기도화성오산교육지원청,경기도 화성시 동탄구,한백초등학교,공립,6,0,6,2024-12-31,2024-12-16 12:00:00.000000,196.0,182.0,초,0.0,8.0,8.0,1031.0,2.19722457733622,0.0,0.5806327879665873,0.2005494505494505,24.86236517902248,고위험,197.3886308554792
S090000868,경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,화수고등학교,공립,6,0,6,2025-02-27,2025-02-15 20:00:00.000000,135.0,124.0,고,0.0,12.0,12.0,796.0,2.5649493574615367,0.0,0.6778067712229614,0.0329670329670329,25.698354335029155,고위험,197.3853251314175
S040000331,인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,강화초등학교,공립,6,0,6,2025-02-26,2025-01-22 00:00:00.000000,160.0,125.0,초,0.0,19.0,19.0,209.0,2.995732273553991,0.0,0.7916443316431058,0.1016483516483516,31.058168400022907,고위험,197.1295345420767
S010001371,서울특별시교육청,서울특별시동부교육지원청,서울특별시 중랑구,봉화중학교,공립,6,1,5,2025-02-28,2024-12-19 09:36:00.000000,193.0,123.0,중,0.0,6.0,6.0,262.0,1.9459101490553128,0.1666666666666666,0.5142210981219936,0.1923076923076923,29.988257771820003,고위험,197.087449233053
S150001631,경상북도교육청,경상북도김천교육지원청,경상북도 김천시,감문중학교,공립,6,2,4,2025-02-20,2025-02-11 00:00:00.000000,140.0,131.0,중,0.0,18.0,18.0,28.0,2.9444389791664403,0.3333333333333333,0.7780897005728759,0.0467032967032967,45.10024761609825,고위험,196.96612334514333
S090002452,경기도교육청,경기도수원교육지원청,경기도 수원시 권선구,당수초등학교,공립,6,0,6,2025-02-27,2025-01-26 04:00:00.000000,155.0,124.0,초,0.0,13.0,13.0,494.0,2.639057329615259,0.0,0.6973903490356274,0.0879120879120879,27.33334266589894,고위험,196.92464608055215
S010002146,서울특별시교육청,서울특별시성동광진교육지원청,서울특별시 광진구,광양중학교,공립,6,1,5,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,7.0,7.0,403.0,2.079441541679836,0.1666666666666666,0.5495077527409008,0.0,28.118899370881493,고위험,196.87208040718207
S150003547,경상북도교육청,경상북도포항교육지원청,경상북도 포항시 북구,환호여자중학교,공립,6,0,6,2024-12-20,2024-12-20 00:00:00.000000,193.0,193.0,중,0.0,9.0,9.0,760.0,2.302585092994046,0.0,0.6084750807294722,0.1923076923076923,25.75935639971687,고위험,196.66324164632636
S130001081,전북특별자치도교육청,전북특별자치도완주교육지원청,전북특별자치도 완주군,송광초등학교,공립,6,2,4,2025-01-21,2024-11-05 18:00:00.000000,237.0,161.0,초,0.0,11.0,11.0,28.0,2.4849066497880004,0.3333333333333333,0.6566548958105609,0.3131868131868132,44.99877453884128,고위험,196.52296039798304
S090000493,경기도교육청,경기도광주하남교육지원청,경기도 광주시,광주중앙고등학교,공립,6,0,6,2024-12-23,2024-12-09 00:00:00.000000,204.0,190.0,고,0.0,7.0,7.0,1289.0,2.079441541679836,0.0,0.5495077527409008,0.2225274725274725,24.07061182509395,고위험,196.4739017209678
S070000656,울산광역시교육청,울산광역시강북교육지원청,울산광역시 북구,달천중학교,공립,6,0,6,2025-02-25,2025-02-22 00:00:00.000000,129.0,126.0,중,0.0,13.0,13.0,672.0,2.639057329615259,0.0,0.6973903490356274,0.0164835164835164,26.15262838018465,고위험,196.45188409278623
S090004910,경기도교육청,경기도시흥교육지원청,경기도 시흥시,군서고등학교,공립,6,0,6,2025-02-17,2025-02-02 04:00:00.000000,148.0,134.0,고,0.0,10.0,10.0,1061.0,2.3978952727983707,0.0,0.6336614981727329,0.0686813186813186,24.650480394992314,고위험,196.4127895680962
S140000278,전라남도교육청,전라남도교육청,전라남도 영광군,영광전자고등학교,공립,6,1,5,2025-02-28,2024-10-15 09:36:00.000000,258.0,123.0,고,0.0,15.0,15.0,43.0,2.772588722239781,0.1666666666666666,0.7326770036545345,0.3708791208791209,41.04694214041831,고위험,196.37635509223196
